Field strength (T),PVP Concentration (%),Temp (C),ADC reported (um^2/s),ADC Uncertainty (um^2/sec)
1.5,0,0,1109,8.3
1.5,0,16,1799,13
1.5,0,18,1898,13.7
1.5,0,20,2000,14.3
1.5,0,22,2106,15
1.5,0,24,2232,16
1.5,0,26,2335,16.7
1.5,10,0,817,6.3
1.5,10,16,1376,10.3
1.5,10,18,1462,10.7
1.5,10,20,1551,11.3
1.5,10,22,1640,12
1.5,10,24,1742,12.7
1.5,10,26,1825,13
1.5,20,0,579,5
1.5,20,16,1047,8
1.5,20,18,1112,8.3
1.5,20,20,1183,9
1.5,20,22,1258,9.3
1.5,20,24,1322,9.7
1.5,20,26,1390,10.3
1.5,30,0,380,3.7
1.5,30,16,722,5.7
1.5,30,18,760,6
1.5,30,20,832,6.7
1.5,30,22,886,7
1.5,30,24,929,7.3
1.5,30,26,989,7.7
1.5,40,0,220,2.3
1.5,40,16,440,4
1.5,40,18,471,4
1.5,40,20,507,4.3
1.5,40,22,545,4.7
1.5,40,24,584,5
1.5,40,26,625,5.3
1.5,50,0,110,1.7
1.5,50,16,231,2.7
1.5,50,18,246,2.7
1.5,50,20,267,2.7
1.5,50,22,293,3
1.5,50,24,323,3
1.5,50,26,352,3.3